Institution,Datenset,URL (CdV),Beschreibung,Beschreibung (ohne Zeichenbeschränkung),Zusammenfassung auf Englisch,Thema,Objekttypen,Lizenz der Mediendateien,Lieferformat der Metadaten,Metadaten-Schema,Kontrollierte Vokabulare,Lizenz der Metadaten,Titelbild (Filename),Kick-Off
Centre international d'art verrier (CIAV),"Meisenthaler Glasfabrik, 1892",https://codingdavinci.de/de/daten/meisenthaler-glasfabrik-1892,"Dieser Datensatz besteht aus einer Reihe digitaler Fotografien, die nach analogen Abzügen der Gebrüder De Jongh 1892 in der Meisenthaler Glasfabrik gefertigt wurden. Die Fabrik stand im französischen Département Mosel, einem Gebiet, das seit 1870/1871 an Deutschland annektiert war. Die Firma Burgun Schverer et Cie, Eigentümerin der Glasfabrik, produzierte damals neben der Serienproduktion (Tafelservice und gängiges Geschirr) künstlerische Stücke, die in Zusammenarbeit mit dem in Nancy niedergelassenen Künstler Emile Gallé entstanden.
Diese Aufnahmen zeigen alle Menschen, die 1982 in der Glasfabrik tätig waren: Vom Direktor bis hin zum einfachen Arbeiter über die verschiedenen Abteilungen: Glasbläser (Warmumformung) und den Hallenchef Joseph Rémy Burgun, Töpfer, das für die Instandhaltung verantwortliche Personal, Désiré Christian, Verantwortlicher für die Dekorationsateliers von Emile Gallé in Meisenthal, seinen Assisteten und Zeichner Eugène Kremer oder auch Antoine Burgun, Direktor der Glasfabrik.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben","Bild, Scan eines Fotos",CC BY 3.0,XLS,,,CC0 1.0,,Saar-Lor-Lux 2020
Centre international d'art verrier (CIAV),Verrerie de Meisenthal en 1892,https://codingdavinci.de/fr/daten/verrerie-de-meisenthal-en-1892,"Ce jeu de données est constitué d’une série de photographies numériques produites à partir de tirages argentiques des Frères De Jongh réalisés en 1892 à la Verrerie de Meisenthal, située en Moselle (57), territoire annexé par l’Allemagne depuis 1870/71. La société Burgun Schverer et Cie, propriétaire de la verrerie, produit à cette période, en parallèle d’une production de masse (services de table et gobeleterie courante), des pièces artistiques issues d’un travail collaboratif avec Emile Gallé, alors installé à Nancy.
Ces photos donnent à voir l’ensemble des personnes œuvrant en 1892 à la verrerie, de la direction au simple ouvrier en passant par les différents services : les souffleurs (travail à chaud) avec son chef de halle Joseph Rémy Burgun, les potiers, l’équipe en charge de la maintenance, Désiré Christian, responsable de l’atelier de décoration d’Emile Gallé à Meisenthal, son assistant et dessinateur Eugène Kremer ou encore Antoine Burgun, directeur de l’usine.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben","Bild, Scan eines Fotos",CC BY 3.0,XLS,,,CC0 1.0,,Saar-Lor-Lux 2020
Centre national de l'audiovisuel (CNA),Collection Pierre Bertogne,https://codingdavinci.de/fr/daten/collection-pierre-bertogne,"La sélection des films issue de la Collection Bertogne comprend des numérisations en SD de films 35mm en noir et blanc.
Photographe et propriétaire d’un magasin bien connu de matériel photo à Luxembourg-Ville et passionné de cinéma, Pierre Bertogne filma régulièrement, pendant les années 1930 et jusque dans les années 1950, les grands et petits événements au Luxembourg. Son amitié avec la Grande-Duchesse Charlotte l’a notamment amené à fixer sur pellicule les manifestations du Centenaire de l’indépendance luxembourgeoise en 1939. C’est également à lui qu’on doit une grande partie des images filmées à la Libération du Luxembourg en 1944/45.
Le neveu de Pierre Bertogne, M. Pierre Faber, a confié au Centre national de l'audiovisuel l’ensemble de cette importante collection de films. La Collection Pierre Bertogne est une des collections les plus importantes du CNA.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Politik und Militär","Video, Amateurfilm, Dokumentarfilm",CC BY-SA 4.0,CSV,,,CC0 1.0,,Saar-Lor-Lux 2020
Centre national de l'audiovisuel (CNA),Sammlung Pierre Bertogne,https://codingdavinci.de/de/daten/sammlung-pierre-bertogne,"Die Auswahl der Filme aus der Bertogne-Sammlung umfasst 35mm-Schwarzweißfilme im SD-Format.
Der Fotograf Pierre Bertogne, Inhaber eines bekannten Fotoausrüstungsgeschäfts in Luxemburg-Stadt und leidenschaftlicher Kinokünstler, filmte in den 1930er und bis in die 1950er Jahre regelmäßig große und kleine Veranstaltungen in Luxemburg. Seine Freundschaft mit der Großherzogin Charlotte führte ihn unter anderem dazu, die Veranstaltungen zum 100. Jahrestages der Unabhängigkeit Luxemburgs im Jahr 1939 filmisch festzuhalten. Ihm verdanken wir auch einen großen Teil der Bilder, die bei der Befreiung Luxemburgs 1944/45 gedreht wurden.
Der Neffe von Pierre Bertogne, Herr Pierre Faber, überließ dem Centre national de l'audiovisuel diese gesamte, bedeutende Filmsammlung. Die Sammlung Pierre Bertogne ist eine der größten Sammlungen der CNA.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Politik und Militär","Video, Amateurfilm, Dokumentarfilm",CC BY-SA 4.0,CSV,,,CC0 1.0,,Saar-Lor-Lux 2020
Deutsches Exilarchiv 1933-1945 der Deutschen Nationalbibliothek,Archiv der Deutschen Akademie im Exil / American Guild for German Cultural Freedom,https://codingdavinci.de/de/daten/archiv-der-deutschen-akademie-im-exil-american-guild-german-cultural-freedom,"Das Archiv der Deutschen Akademie im Exil / American Guild for German Cultural Freedom zählt zu den bedeutendsten Beständen des Deutschen Exilarchivs. Die überparteiliche Organisation unterstützte Exilierte finanziell, bot Vernetzung und gewährte lebensrettende Hilfe bei der Weiterflucht. Viele Prominente waren zur Mitarbeit bereit, darunter Thomas Mann und Sigmund Freud. In dem Büro der American Guild in New York City gingen bald Hilfsgesuche aus aller Welt ein. Bis zu ihrer Auflösung 1941 gewährte die American Guild 160 Arbeitsstipendien. Die Mittel wurden mit Soireen, Fundraising-Dinners, Konzerten und Manuskriptauktionen eingeworben. Das Archiv umfasst 968 Personenmappen. Fragebögen, Lebensläufe und Korrespondenzen aus vielen Ort der Welt sind überliefert. Mit Stipendiaten wie Bertolt Brecht, Alfred Döblin, John Heartfield, Egon Erwin Kisch, Joseph Roth, Anna Seghers und Arnold Zweig ist das Archiv ein „Who is Who“ der deutschsprachigen Emigration. Die Metadaten eignen sich zur Visualisierung von Netzwerken im Exil. In welchen Aufnahmeländern befanden sich die Stipendiaten der American Guild? Wie verlagerte sich die geografische Verteilung im Lauf der Zeit? Wie viele Männer und Frauen befanden sich unter den Bewerbenden und Stipendiaten?
Das Datenset liegt in einer CSV-Tabelle vor und beinhaltet die Metadaten zu den Personenmappen und Archivalien, insgesamt 16.705 Einzel- und Strukturdatensätze. Die relevanten GND-Daten zu Personen sind referenziert, eine normierte Georeferenzierung wäre zu erstellen.
Schauspieler*innen des Staatstheaters Saarbrücken, das ebenfalls an Coding da Vinci teilnimmt, lesen aus diesem Anlass Briefe aus dem Bestand ein.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Politik und Militär, Sprache und Literatur","Video, Amateurfilm",CC BY-SA 4.0,"CSV, XML","DC, MARC, RDF-XML",,CC0 1.0,,Saar-Lor-Lux 2020
Deutsches Exilarchiv 1933-1945 der Deutschen Nationalbibliothek,Archives de l'Académie allemande en exil / Americam Guild for German Cultural Freedom,https://codingdavinci.de/fr/daten/archives-de-lacademie-allemande-en-exil-americam-guild-german-cultural-freedom,"Les archives de l'Académie allemande en exil / American Guild for German Cultural Freedom sont l'une des collections les plus importantes des archives allemandes d'exil. L'organisation apolitique soutenait financièrement les exilés, mettait les personnes en contact et était une aide essentielle pour permettre l'exil. De nombreuses célébrités étaient disposées à coopérer, notamment Thomas Mann et Sigmund Freud. Des demandes d'aide venues du monde entier sont rapidement arrivées au bureau de l'American Guild à New York. Jusqu'à sa dissolution en 1941, l'American Guild a accordé 160 bourses de travail. Les fonds étaient collectés grâce à des soirées, des dîners caritatifs, des concerts et des ventes aux enchères de manuscrits. L'archive comprend les dossiers de 968 personnes. Formulaires, curriculum vitae et correspondance provenant du monde entier ont été conservés. Avec des boursiers comme Bertolt Brecht, Alfred Döblin, John Heartfield, Egon Erwin Kisch, Joseph Roth, Anna Seghers et Arnold Zweig, les archives constituent un véritable annuaire de l'émigration germanophone. Les métadonnées permettent la visualisation des réseaux en exil. Dans quels pays d'accueil se trouvaient les boursiers de l'American Guild ? Comment la répartition géographique a-t-elle évolué au fil du temps? Combien d'hommes et de femmes figuraient parmi les candidats et les boursiers ?
Le jeu de données est disponible sous la forme d'un tableur CSV et contient les métadonnées sur les dossiers personnels et les documents d'archives, soit un total de 16 705 documents individuels et structurels. Les données GND sur les personnes sont référencées, un géoréférencement standardisé devrait pouvoir être créé.
Les comédien.ne.s du Théâtre National de la Sarre (Saarländisches Staatstheater), qui participe également à Coding da Vinci Saar-Lor-Lux 2020, lisent à cette occasion des lettres issues de ce fonds.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Politik und Militär, Sprache und Literatur","Video, Amateurfilm",CC BY-SA 4.0,"CSV, XML","DC, MARC, RDF-XML",,CC0 1.0,,Saar-Lor-Lux 2020
Deutsches Exilarchiv 1933-1945 der Deutschen Nationalbibliothek,"Exilzeitschriften ""Aufbau"" und ""Das andere Deutschland / La otra Alemania""",https://codingdavinci.de/de/daten/exilzeitschriften-aufbau-und-das-andere-deutschland-la-otra-alemania,"Das Deutsche Exilarchiv 1933-1945 hat in einem DFG-geförderten Projekt zwischen 1997 und 2003 insgesamt 30 Exilzeitschriften digitalisiert, darunter auch den in New York erschienen „Aufbau“ und die in Buenos Aires herausgegebene Exilzeitung „Das andere Deutschland“. Beide Zeitschriften stellen wertvolle Quellen für die Erforschung des deutschsprachigen Exils dar. Sie geben Aufschluss über kulturelle und politische Positionen und Zusammenschlüsse, über die Sicht der Exilierten auf die Vorgänge in NS-Deutschland, über den Alltag sowie die Lebensbedingungen in den Aufnahmeländern. Für den „Aufbau“ wurden die Ausgaben 1934 – 1950 digitalisiert, für „Das andere Deutschland“ liegen Digitalisate der Ausgaben 1939 - 1949 vor.
Mit dem Datenset lassen sich beispielsweise Text Mining-Analysen umsetzen und Begriffe wie „Krieg“, „Hitler“, „Emigration“, „Massenmord“ in ihrer Häufigkeit und Kontextualisierung untersuchen.
Für die beiden Zeitschriften liegen die Metadaten mit Verknüpfungen zu den einzelnen Heften und Artikeln als CSV-Tabellen vor. Zudem beinhaltet das Datenset Digitalisate, die bitonale Bilder im TIFF-Format und automatische OCR in TXT und ALTO-XML umfassen. Zum „Aufbau“ liegt eine inhaltliche Erschließung in Form eines Schlagwortkatalogs als PDF-Dokument mit Verlinkungen zu Datensätzen im DNB-Katalog vor.",,,"Gesellschaft und Alltagsleben, Medien und Information, Politik und Militär","Text, Amtliche Publikation, Druckwerk, Quelle",CC BY-SA 4.0,"CSV, XML","DC, MARC, RDF-XML",,CC0 1.0,,Saar-Lor-Lux 2020
Deutsches Exilarchiv 1933-1945 der Deutschen Nationalbibliothek,"Revues d'exil ""Aufbau"" et ""Das andere Deutschland / La otra Alemania""",https://codingdavinci.de/fr/daten/revues-dexil-aufbau-et-das-andere-deutschland-la-otra-alemania,"Entre 1997 et 2003, dans le cadre d'un projet financé par la Fondation allemande pour la recherche (""Deutsche Forschungsgemeinschaft""), les archives allemandes de l'exil 1933-1945 (""Deutsches Exilarchiv 1933-1945"") ont numérisé 30 revues d'exil, dont ""Aufbau"", paru à New-York, et le journal d'exil ""Das andere Deutschland"", publié à Buenos Aires. Les deux revues constituent de précieuses sources pour la recherche sur l'exil germanophone. Elles fournissent des renseignements sur les positions et les associations politiques et culturelles, sur le regard que portaient les exilés sur ce qui se passait dans l'Allemagne nazie, sur le quotidien et les conditions de vie dans les pays d'accueil. Pour ce qui est de ""Aufbau"", les numéros des années 1934-1950 ont été numérisées ; quant à ""Das andere Deutschland"", sont disponibles en version numériques les années 1939-1949.
Le jeu de données offre notamment des possibilités en matière d'analyse text-mining, des termes tels que ""guerre"", ""Hitler"", ""émigration"", ""génocide"" peuvent être étudiés : à quelle fréquence apparaissent-ils ? Dans quel contexte ?
Pour les deux revues, les métadonnées sont disponibles et mises en relation avec les différents numéros et articles sous la forme d'un tableur CSV. En outre, le jeu de données comprend des fichiers numériques incluant des images en niveaux de gris au format TIFF et de l'OCR automatique en TXT et ALTO-XML. Pour la revue ""Aufbau"", il existe un index de contenus sous la forme d'un catalogue de mots-clés (fichier PDF), avec des liens vers des jeux de données dans le catalogue de la Bibliothèque nationale allemande (Deutsche Nationalbibliothek).",,,"Gesellschaft und Alltagsleben, Medien und Information, Politik und Militär","Text, Amtliche Publikation, Druckwerk, Quelle",CC BY-SA 4.0,"CSV, XML","DC, MARC, RDF-XML",,CC0 1.0,,Saar-Lor-Lux 2020
Institut für aktuelle Kunst,Jo Enzweiler - Art dans l'espace public (1962-2010),https://codingdavinci.de/fr/daten/jo-enzweiler-art-dans-lespace-public-1962-2010,"Une vue d'ensemble des oeuvres réalisées dans l'espace public par Jo Enzweiler (*1934 à Merzig-Büdingen), illustre parfaitement les aspects essentiels du travail de recherche de l'Institut d'art contemporain de la Sarre (""Institut für aktuelle Kunst im Saarland""). Le jeu de données comprend des informations concernant 30 objets. Ils sont répertoriés de façon systématique et exhaustive. Chaque objet est documenté par des photographies et décrit de manière détaillée. Le matériau source fournit en outre des informations générales sur les objets et la vie de l'artiste. La recherche artistique autour de projets de Jo Enzweiler basée sur les informations et les sources fournies par l'institut se déroule en interaction directe avec l'artiste et est ainsi exemplaire de la démarche de recherche de l'institution.
Jo Enzweiler ne définit pas l'espace public comme un espace physiquement circoncrit, mais comme une entité sociale tout à fait fragile. C'est dans ce concept spatial, défini par l'interaction entre les individus, que l'artiste déploie son œuvre.",,,Kunst und Kultur,"Bild, Foto eines 3D Sammlungsobjektes",CC BY-SA 3.0,CSV,,,CC0 1.0,,Saar-Lor-Lux 2020
Institut für aktuelle Kunst,Jo Enzweiler — Kunst im öffentlichen Raum (1962-2010),https://codingdavinci.de/de/daten/jo-enzweiler-kunst-im-oeffentlichen-raum-1962-2010,"Der Überblick über die Werke, die Jo Enzweiler (*1934 in Merzig-Büdingen) im öffentlichen Raum realisiert hat, bildet beispielhaft wesentliche Aspekte der Forschungsarbeit des Instituts für aktuelle Kunst im Saarland ab. Der Datensatz umfasst Informationen zu 30 Objekten. Sie sind systematisch und lückenlos erfasst. Jedes Objekt ist fotografisch dokumentiert und detailliert beschrieben. Zudem liefert Quellenmaterial Hintergrundinformationen zu den Objekten und zur Person des Künstlers. Die kunstwissenschaftliche Aufarbeitung der Projekte auf Basis der durch das Institut bereit gestellten Informationen und Quellen erfolgt in direkter Interaktion mit dem Künstler und ist damit exemplarisch für den Forschungsansatz der Einrichtung.
Jo Enzweiler definiert den öffentlichen Raum nicht als physikalisch abgeschlossenes Areal, sondern als—durchaus auch zerbrechliches—soziales Gebilde. In diesem, durch die Interaktion von Menschen definierten Raumbegriff entfaltet sich sein Werk.",,,Kunst und Kultur,"Bild, Foto eines 3D Sammlungsobjektes",CC BY-SA 3.0,CSV,,,CC0 1.0,,Saar-Lor-Lux 2020
K8 Institut für strategische Ästhetik gGmbH,Die Französische Botschaft in Saarbrücken,https://codingdavinci.de/de/daten/die-franzoesische-botschaft-saarbruecken,"1951 ist die politische Struktur des Saargebietes noch ein Provisorium. Eine wichtige Rolle spielt der Hohe Kommissar Gilbert Grandval, dessen „Haut Commissariat“ 1951 in die „Mission Diplomatique Française en Sarre“ umgewandelt wird und der Georges-Henri Pingusson (1894-1978) mit dem Bau einer Botschaft beauftragt. Die Botschaft symbolisierte ein Zeichen des Friedens zwischen den Völkern, und repräsentierte die „Grande Nation“ und deren Kultur. Durch die Grundkonzeption und die Dimensionen der Gebäudegruppe spiegelt sie den Macht- und Repräsentationsanspruch Frankreichs an der Saar wider. Sie verkörpert bis heute eine wichtige Etappe der Nachkriegsgeschichte des Landes. Der Gebäudekomplex hat im Laufe seines Bestehens eine Reihe von Veränderungen erfahren; in seinen wesentlichen Bauteilen ist er jedoch fast vollständig erhalten. Die Aufnahme des Gebäudes in die Denkmalliste 1985 erfolgte wegen seiner historischen Bedeutung und der kunsthistorischen, künstlerischen und städtebaulichen Werte.
Text: Marlen Dittmann/Axel Böcker
Datensatz: 34 Bilder mit Detailansichten des Pingusson-Baus (Urheber: Henrik Elburn und Heiko Lukas). Zur Verfügung gestellt von K8 Institut für strategische Ästhetik gGmbH in Kooperation mit Deutschen Werkbund Saar e. V.",,,"Geschichte und Geografie, Kunst und Kultur, Politik und Militär","Bild, Foto eines 3D Sammlungsobjektes","CC BY 4.0

, 
CC BY-SA 4.0, Henrik Elburn",XLS,,,CC0 1.0,,Saar-Lor-Lux 2020
